A,B,C,P[MW]
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0.0046439999136079324
0,0,1,0.0046269998996508646
0,1,0,0.0047059999011496805
0,0,1,0.0046839998946670294
0,1,0,0.0046249998996983459
0,0,1,0.0056209998101350491
0,1,0,0.0049809998112146987
1,0,0,0.0049339998115002315
0,0,1,0.0049799998115616182
1,0,0,0.0021861241010125712
1,0,0,0.0018895969207544061
0,0,1,-0.0043321629828638759
1,0,0,0.0020851084293136717
0,1,0,-0.0046649996388500892
1,0,0,-0.0048249996382910219
0,1,0,-0.0048629996357210761
1,0,0,-0.0046109996418688297
1,0,0,0
1,0,0,0
0,1,0,0
1,0,0,0
1,0,0,0
0,0,1,0
0,0,1,0
1,0,0,0
0,1,0,0
0,0,1,0
1,0,0,0
1,0,0,0


