A,B,C,P[kW]
0, 1, 0, 4.6160000000000236
0, 1, 0, 4.6350000000000202
1, 0, 0, 4.6500000000000226 
0, 0, 1, 4.6110000000000246
0, 1, 0, 4.6290000000000200
0, 1, 0, 4.6120000000000223
1, 0, 0, 4.6450000000000156
0, 0, 1, 4.6200000000000214
1, 0, 0, 4.6500000000000128
1, 0, 0, 4.6180000000000163
0, 0, 1, 4.6710000000000038
1, 0, 0, 4.6020000000000234
0, 0, 1, 4.6370000000000253
0, 0, 1, 4.6630000000000313
0, 0, 1, 4.6490000000000249
0, 0, 1, 4.6600000000000241
0, 1, 0, 4.6400000000000299
1, 0, 0, 4.7150000000000150
1, 0, 0, 4.9080000000000323
1, 0, 0, 5.1390000000000216
1, 0, 0, 5.4720000000000200
1, 0, 0, 5.6330000000000133
1, 0, 0, 5.8540000000000241
1, 0, 0, 6.1690000000000227
0, 1, 0, -4.7520000000000273
0, 0, 1, -4.9070000000000285
0, 0, 1, -5.0080000000000284
0, 0, 1, -7.1723333333333734
0, 0, 1, -4.8720000000000292
0, 1, 0, -4.8290000000000299
0, 1, 0, -5.9730000000000292
0, 1, 0, -4.9660000000000304
0, 0, 1, -5.2310000000000310
0, 0, 1, -4.7550000000000301
0, 1, 0, -4.6190000000000255
0, 0, 1, -4.7760000000000273
0, 0, 1, -4.9200000000000328
0, 1, 0, -4.608
0, 0, 1, -4.6330000000000284
0, 0, 1, -4.6970000000000303
0, 0, 1, -4.6330000000000284
0, 1, 0, -4.6800000000000255
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 5.1448194888523320
0, 1, 0, 4.8372080633213690
1, 0, 0, 4.7905494830724278
0, 1, 0, 4.8265967364995630
0, 1, 0, -5.0189999475331666
0, 0, 1, -7.1665935077981420
0, 1, 0, -7.1661842616403328
0, 1, 0, -7.1662838202199710
1, 0, 0, -5.0409999875009959 
0, 1, 0, -4.7239999884904034
1, 0, 0, -4.7409999884327139
1, 0, 0, -4.6109999887919475 
0, 1, 0, 4.6809997112112418 
0, 0, 1, 4.8179997099923506 
0, 1, 0, 4.6209998364030822
0, 0, 1, 4.8159997097484348
0, 0, 1, 4.6449999803104243 
1, 0, 0, 4.6319999807423473 
1, 0, 0, 4.6539999636192819 
1, 0, 0, 4.8059999684203545
0, 0, 1, 5.3769999920578266
0, 0, 1, 4.6589999924144836 
0, 1, 0, 4.6139999924071970
0, 0, 1, 4.8239999924324080
