A,B,C,P[MW]
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, -0.0072
1, 0, 0, -0.0072
1, 0, 0, -0.0072
1, 0, 0, -0.0072
1, 0, 0, -0.0072
1, 0, 0, -0.0021333333333333453
1, 0, 0, 0.0072
1, 0, 0, 0.0072
1, 0, 0, -0.0072
1, 0, 0, 0.0072
1, 0, 0, 0.0072
1, 0, 0, 0.0072
1, 0, 0, 0.0072
1, 0, 0, 0.0072
1, 0, 0, 0.0072
1, 0, 0, 0.0072
1, 0, 0, 0.0072
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0



