A,B,C,P[kW]
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0 
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, -7.2
1, 0, 0, -7.2
1, 0, 0, -7.1999999999999904
1, 0, 0, -7.2
1, 0, 0, -7.2
1, 0, 0, -7.2
1, 0, 0, -2.1333333333333453
1, 0, 0, 7.2
1, 0, 0, 7.2
1, 0, 0, 7.2
1, 0, 0, 7.2
1, 0, 0, 7.2
1, 0, 0, 7.2
1, 0, 0, 7.2 
1, 0, 0, 7.2
1, 0, 0, 7.2
1, 0, 0, 7.2 
1, 0, 0, 0 
1, 0, 0, 0 
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0 
1, 0, 0, 0 
1, 0, 0, 0 
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0 
1, 0, 0, 0
1, 0, 0, 0
