A,B,C,P[MW]
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0.0052899998315767922
0, 0, 1, 0.0052099998308873046
0, 0, 1, 0.0050659998314744135
0, 1, 0, 0.0049699998319959304
1, 0, 0, -0.0068360201069470916
1, 0, 0, -0.0068359160813964062
1, 0, 0, -0.0043113995376565271
1, 0, 0, -0.0039379969038784206
1, 0, 0, -0.0050409997915346256
1, 0, 0, -0.0048249998035022781
0, 1, 0, -0.0048629998015625109
0, 1, 0, -0.0049279997967521041
0, 1, 0, 0.0046809998717245689
0, 0, 1, 0.0048179998712432228
0, 1, 0, 0.0046209998519059381
0, 0, 1, 0.0048159998711625951
0, 0, 1, 0.0046449999405882680
1, 0, 0, 0.0046319999434211399
1, 0, 0, 0.0046539999448436111
1, 0, 0, 0.0048059999139109353
0, 0, 1, 0.0053769999773429875
0, 0, 1, 0.0046589999778168876
1, 0, 0, 0
1, 0, 0, 0

