Date,Time,P1[kW],P2[kW],P3[kW],Q1[kVAr],Q2[kVAr],Q3[kVAr]
01.01.2014,00:00:00,0.000104,0.000088,0.000391,0.0000,-0.000000008,0.000000021
01.01.2014,00:15:00,0.000145,0.000099,0.000134,-0.000012,0.000073,0.000088
01.01.2014,00:30:00,0.000046,0.000096,0.000259,-0.000024,-0.000007,0.000051
01.01.2014,00:45:00,0.000148,0.000132,0.000121,0.000099,-0.000052,0.000069
01.01.2014,01:00:00,0.000246,0.000004,0.000033,-0.000003,-0.00002,-0.000005
01.01.2014,01:15:00,0.000089,0.000077,0.000182,0.000016,-0.000047,0.000042
01.01.2014,01:30:00,0.000001,0.000122,0.000046,-0.000009,0.000099,-0.000023
01.01.2014,01:45:00,0.000052,0.000078,0.000032,0.000005,-0.000073,0.000074
01.01.2014,02:00:00,0.000017,0.000067,0.000167,-0.000016,0.000057,-0.00001
01.01.2014,02:15:00,0.000009,0.000074,0.000027,-0.00001,0.000027,-0.000008
01.01.2014,02:30:00,0.000214,0.000074,0.000003,0.000094,0.000006,-0.000001
01.01.2014,02:45:00,0.00005,0.000052,0.000097,-0.000005,-0.000003,0.000103
01.01.2014,03:00:00,0.000067,0.00005,0.000013,0.000001,0.0000,-0.000001
01.01.2014,03:15:00,0.000088,0.00014,0.000025,0.000038,0.000003,0.000038
01.01.2014,03:30:00,0.000098,0.000054,0.000005,0.000039,-0.000029,0.000001
01.01.2014,03:45:00,0.00006,0.000162,0.0000,-0.000014,0.000143,0.000005
01.01.2014,04:00:00,0.000136,0.000028,0.000068,-0.000009,-0.000037,-0.000011
01.01.2014,04:15:00,0.000062,0.000047,0.0000,-0.000012,0.000014,0.000006
01.01.2014,04:30:00,0.000079,0.000011,0.000155,0.000018,0.000009,0.000115
01.01.2014,04:45:00,0.000085,0.000094,0.000028,0.000035,0.000005,0.000044
01.01.2014,05:00:00,0.000027,0.000074,0.000078,-0.000033,-0.000035,0.000007
01.01.2014,05:15:00,0.000058,0.000157,0.000033,0.000045,0.000011,-0.00001
01.01.2014,05:30:00,0.000061,0.000047,0.000026,0.000007,-0.000002,0.000042
01.01.2014,05:45:00,0.000008,0.000104,0.00006,0.000003,-0.000017,-0.00005
01.01.2014,06:00:00,0.000102,0.000165,0.000013,0.000023,0.000018,-0.000002
01.01.2014,06:15:00,0.000022,0.000102,0.000409,-0.00002,0.0000,-0.000058
01.01.2014,06:30:00,0.00002,0.000128,0.000536,-0.000021,-0.000023,-0.000066
01.01.2014,06:45:00,0.001744,0.000513,0.003258,0.000023,0.000397,-0.000013
01.01.2014,07:00:00,0.000727,0.000094,0.000366,0.00014,-0.000038,0.000049
01.01.2014,07:15:00,0.000038,0.000453,0.000224,-0.000033,-0.000051,0.000084
01.01.2014,07:30:00,0.000597,0.001424,0.000051,0.000185,0.000049,-0.000032
01.01.2014,07:45:00,0.002226,0.000412,0.000046,0.000004,0.000028,0.000056
01.01.2014,08:00:00,0.000109,0.00036,0.000991,-0.000018,0.000009,-0.000047
01.01.2014,08:15:00,0.001349,0.001435,0.00159,0.000507,0.000651,0.000824
01.01.2014,08:30:00,0.000086,0.000316,0.000297,0.000018,0.00027,0.00025
01.01.2014,08:45:00,0.000074,0.000311,0.000487,-0.000077,-0.000038,-0.000065
01.01.2014,09:00:00,0.00004,0.000026,0.000346,-0.000015,0.000004,-0.000085
01.01.2014,09:15:00,0.000248,0.000034,0.000026,0.000009,-0.000013,-0.000005
01.01.2014,09:30:00,0.000044,0.000091,0.000124,-0.000035,-0.000046,0.000017
01.01.2014,09:45:00,0.000193,0.000011,0.000108,0.000153,0.000007,0.000035
01.01.2014,10:00:00,0.00004,0.000091,0.000124,-0.000032,-0.000043,0.000019
01.01.2014,10:15:00,0.000056,0.000109,0.000029,-0.000007,0.00001,-0.000025
01.01.2014,10:30:00,0.000093,0.000027,0.000048,-0.000019,-0.00004,-0.000008
01.01.2014,10:45:00,0.000078,0.000068,0.000104,0.000004,-0.00006,0.000136
01.01.2014,11:00:00,0.000095,0.000028,0.000036,-0.000035,0.000008,-0.000021
01.01.2014,11:15:00,0.000014,0.000044,0.000173,-0.000008,-0.000018,-0.000007
01.01.2014,11:30:00,0.000058,0.000108,0.000004,0.0000,-0.000022,-0.000002
