A,B,C,P[kW]
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0 
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 6.2400000000000349
1, 0, 0, 5.8100000000000298
1, 0, 0, 5.0300000000000322
1, 0, 0, 5.1390000000000304
0, 0, 1, 4.6020000000000225
1, 0, 0, 4.7740000000000160
1, 0, 0, 4.8280000000000234
1, 0, 0, 4.6830000000000167
0, 0, 1, 4.6010000000000231
1, 0, 0, 4.6560000000000157
0, 0, 1, 4.6370000000000244
0, 1, 0, 4.6440000000000206
0, 0, 1, 4.6270000000000211
0, 1, 0, 4.7060000000000235
0, 0, 1, 4.6840000000000215
0, 1, 0, 4.6250000000000222
0, 0, 1, -7.2
1, 0, 0, -6.2011111111143435
0, 1, 0, -7.2
0, 0, 1, 4.9800000000000244
0, 0, 1, -4.9660000000000233
1, 0, 0, -4.6850000000000156
0, 1, 0, -5.004
0, 0, 1, -4.7020000000000222
0, 0, 1, 0 
1, 0, 0, 0
1, 0, 0, 0
0, 0, 1, 0 
0, 1, 0, 0 
0, 0, 1, 0 
1, 0, 0, 0
1, 0, 0, 0
0, 0, 1, 0 
0, 1, 0, 0 
0, 0, 1, 0 
1, 0, 0, 0
1, 0, 0, 0
0, 0, 1, 0 
1, 0, 0, 0
1, 0, 0, 0


