A,B,C,PkW
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
0, 1, 0, 0
1, 0, 0, 0
0, 1, 0, 0
0, 1, 0, 0
1, 0, 0, 0
0, 0, 1, 0
1, 0, 0, 0
0, 1, 0, 0
0, 1, 0, 0
1, 0, 0, 0
0, 0, 1, 0
1, 0, 0, 0
0, 1, 0, 0
0, 1, 0, 0
1, 0, 0, 0
0, 0, 1, 0
0, 0, 1, 7.2
0, 0, 1, -1.5823333333334064
0, 1, 0, 7.2
0, 1, 0, 4.9700000000000353
0, 1, 0, -5.0190000000000383
0, 0, 1, -4.8709999999999996
0, 0, 1, -4.6240000000000085
0, 1, 0, -5.0000000000000222
1, 0, 0, -4.9760000000000284
1, 0, 0, -4.7010000000000254
0, 1, 0, -4.7220000000000368
0, 1, 0, -4.9170000000000407
0, 1, 0, 4.6810000000000249
0, 0, 1, 4.8180000000000271
0, 1, 0, 4.6210000000000244
0, 0, 1, 4.8160000000000283
0, 0, 1, 4.6450000000000218
1, 0, 0, 4.6320000000000148
1, 0, 0, 4.6540000000000239
1, 0, 0, 4.8060000000000196
0, 0, 1, 5.3770000000000282
0, 0, 1, 4.6590000000000247
1, 0, 0, 0
1, 0, 0, 0


