Time,AP[MW],BP[MW],CP[MW]
00:00:00, 0, 0.0046160000000000236, 0
00:15:00, 0, 0.0046350000000000202, 0
00:30:00, 0.0046500000000000226, 0, 0
00:45:00, 0, 0, 0.0046110000000000246
01:00:00, 0, 0.0046290000000000200, 0
01:15:00, 0, 0.0046120000000000223, 0
01:30:00, 0.0046450000000000156, 0, 0
01:45:00, 0, 0, 0.0046200000000000214
02:00:00, 0.0046500000000000128, 0, 0
02:15:00, 0.0046180000000000163, 0, 0
02:30:00, 0, 0, 0.0046710000000000038
02:45:00, 0.0046020000000000234, 0, 0
03:00:00, 0, 0, 0.0046370000000000253
03:15:00, 0, 0, 0.0046630000000000313
03:30:00, 0, 0, 0.0046490000000000249
03:45:00, 0, 0, 0.0046600000000000241
04:00:00, 0, 0.0046400000000000299, 0
04:15:00, 0.0047150000000000150, 0, 0
04:30:00, 0.0049080000000000323, 0, 0
04:45:00, 0.0051390000000000216, 0, 0
05:00:00, 0.0054720000000000200, 0, 0
05:15:00, 0.0056330000000000133, 0, 0
05:30:00, 0.0058540000000000241, 0, 0
05:45:00, 0.0061690000000000227, 0, 0
06:00:00, 0, -0.0047520000000000273, 0
06:15:00, 0, 0, -0.0049070000000000285
06:30:00, 0, 0, -0.0050080000000000284
06:45:00, 0, 0, -0.0071723333333333734
07:00:00, 0, 0, -0.0048720000000000292
07:15:00, 0, -0.0048290000000000299, 0
07:30:00, 0, -0.0059730000000000292, 0
07:45:00, 0, -0.0049660000000000304, 0
08:00:00, 0, 0, -0.0052310000000000310
08:15:00, 0, 0, -0.0047550000000000301
08:30:00, 0, -0.0046190000000000255, 0
08:45:00, 0, 0, -0.0047760000000000273
09:00:00, 0, 0, -0.0049200000000000328
09:15:00, 0, -0.004608, 0
09:30:00, 0, 0, -0.0046330000000000284
09:45:00, 0, 0, -0.0046970000000000303
10:00:00, 0, 0, -0.0046330000000000284
10:15:00, 0, -0.0046800000000000255, 0
10:30:00, 0, 0, 0
10:45:00, 0, 0, 0
11:00:00, 0, 0, 0
11:15:00, 0, 0, 0
11:30:00, 0, 0, 0
11:45:00, 0, 0, 0
12:00:00, 0, 0, 0
12:15:00, 0, 0, 0
12:30:00, 0, 0, 0
12:45:00, 0, 0, 0
13:00:00, 0, 0, 0
13:15:00, 0, 0, 0
13:30:00, 0, 0, 0
13:45:00, 0, 0, 0
14:00:00, 0, 0, 0
14:15:00, 0, 0, 0
14:30:00, 0, 0, 0
14:45:00, 0, 0, 0
15:00:00, 0, 0, 0
15:15:00, 0, 0, 0
15:30:00, 0, 0, 0
15:45:00, 0, 0, 0
16:00:00, 0, 0, 0
16:15:00, 0, 0, 0
16:30:00, 0, 0, 0
16:45:00, 0, 0, 0
17:00:00, 0, 0, 0
17:15:00, 0, 0, 0
17:30:00, 0, 0, 0
17:45:00, 0, 0, 0
18:00:00, 0.0051448194888523320, 0, 0
18:15:00, 0, 0.0048372080633213690, 0
18:30:00, 0.0047905494830724278, 0, 0
18:45:00, 0, 0.0048265967364995630, 0
19:00:00, 0, -0.0050189999475331666, 0
19:15:00, 0, 0, -0.0071665935077981420
19:30:00, 0, -0.007166184616403328, 0
19:45:00, 0, -0.0071662838202199710, 0
20:00:00, -0.0050409999875009959, 0, 0 
20:15:00, 0, -0.0047239999884904034, 0 
20:30:00, -0.0047409999884327139, 0, 0
20:45:00, -0.0046109999887919475, 0, 0 
21:00:00, 0, 0.0046809997112112418, 0 
21:15:00, 0, 0, 0.0048179997099923506 
21:30:00, 0, 0.0046209998364030822, 0
21:45:00, 0, 0, 0.0048159997097484348
22:00:00, 0, 0, 0.0046449999803104243 
22:15:00, 0.0046319999807423473, 0, 0 
22:30:00, 0.0046539999636192819, 0, 0 
22:45:00, 0.0048059999684203545, 0, 0
23:00:00, 0, 0, 0.0053769999920578266
23:15:00, 0, 0, 0.0046589999924144836 
23:30:00, 0, 0.0046139999924071970, 0
23:45:00, 0, 0, 0.0048239999924324080  

