Date,Time,P[MW]
01.01.2014,00:00:00,0.000000
01.01.2014,00:15:00,0.000000
01.01.2014,00:30:00,0.000000
01.01.2014,00:45:00,0.000000
01.01.2014,01:00:00,0.000000
01.01.2014,01:15:00,0.000000
01.01.2014,01:30:00,0.000000
01.01.2014,01:45:00,0.000000
01.01.2014,02:00:00,0.000000
01.01.2014,02:15:00,0.000000
01.01.2014,02:30:00,0.000000
01.01.2014,02:45:00,0.000000
01.01.2014,03:00:00,0.000000
01.01.2014,03:15:00,0.000000
01.01.2014,03:30:00,0.000000
01.01.2014,03:45:00,0.000000
01.01.2014,04:00:00,0.000018
01.01.2014,04:15:00,0.000177
01.01.2014,04:30:00,0.000376
01.01.2014,04:45:00,0.000596
01.01.2014,05:00:00,0.000825
01.01.2014,05:15:00,0.001058
01.01.2014,05:30:00,0.001289
01.01.2014,05:45:00,0.001517
01.01.2014,06:00:00,0.001738
01.01.2014,06:15:00,0.001950
01.01.2014,06:30:00,0.002151
01.01.2014,06:45:00,0.002341
01.01.2014,07:00:00,0.002518
01.01.2014,07:15:00,0.002682
01.01.2014,07:30:00,0.002832
01.01.2014,07:45:00,0.002967
01.01.2014,08:00:00,0.003088
01.01.2014,08:15:00,0.003195
01.01.2014,08:30:00,0.003286
01.01.2014,08:45:00,0.003363
01.01.2014,09:00:00,0.003425
01.01.2014,09:15:00,0.003472
01.01.2014,09:30:00,0.003504
01.01.2014,09:45:00,0.003521
01.01.2014,10:00:00,0.003524
01.01.2014,10:15:00,0.003512
01.01.2014,10:30:00,0.003485
01.01.2014,10:45:00,0.003443
01.01.2014,11:00:00,0.003387
01.01.2014,11:15:00,0.003315
01.01.2014,11:30:00,0.003229
01.01.2014,11:45:00,0.003128
01.01.2014,12:00:00,0.003012
01.01.2014,12:15:00,0.002882
01.01.2014,12:30:00,0.002737
01.01.2014,12:45:00,0.002578
01.01.2014,13:00:00,0.002406
01.01.2014,13:15:00,0.002220
01.01.2014,13:30:00,0.002023
01.01.2014,13:45:00,0.001814
01.01.2014,14:00:00,0.001597
01.01.2014,14:15:00,0.001371
01.01.2014,14:30:00,0.001140
01.01.2014,14:45:00,0.000907
01.01.2014,15:00:00,0.000676
01.01.2014,15:15:00,0.000453
01.01.2014,15:30:00,0.000245
01.01.2014,15:45:00,0.000067
01.01.2014,16:00:00,0.000000
01.01.2014,16:15:00,0.000000
01.01.2014,16:30:00,0.000000
01.01.2014,16:45:00,0.000000
01.01.2014,17:00:00,0.000000
01.01.2014,17:15:00,0.000000
01.01.2014,17:30:00,0.000000
01.01.2014,17:45:00,0.000000
01.01.2014,18:00:00,0.000000
01.01.2014,18:15:00,0.000000
01.01.2014,18:30:00,0.000000
01.01.2014,18:45:00,0.000000
01.01.2014,19:00:00,0.000000
01.01.2014,19:15:00,0.000000
01.01.2014,19:30:00,0.000000
01.01.2014,19:45:00,0.000000
01.01.2014,20:00:00,0.000000
01.01.2014,20:15:00,0.000000
01.01.2014,20:30:00,0.000000
01.01.2014,20:45:00,0.000000
01.01.2014,21:00:00,0.000000
01.01.2014,21:15:00,0.000000
01.01.2014,21:30:00,0.000000
01.01.2014,21:45:00,0.000000
01.01.2014,22:00:00,0.000000
01.01.2014,22:15:00,0.000000
01.01.2014,22:30:00,0.000000
01.01.2014,22:45:00,0.000000
01.01.2014,23:00:00,0.000000
01.01.2014,23:15:00,0.000000
01.01.2014,23:30:00,0.000000
01.01.2014,23:45:00,0.000000
