Egy,Arr,Dep
9.35,17:15,23:00
14.28,10:45,13:30
11.9,13:30,14:00
10.21,12:15,17:45
10.40,13:00,21:15
10.20,15:45,23:00
10.11,18:00,22:45
16.32,16:45,05:45
7.48,13:00,16:00
11.05,14:00,17:00
7.14,15:30,23:00
9.86,17:15,20:30
11.56,16:15,22:00
12.83,10:30,12:30
8.5,00:30,10:45
9.86,09:15,14:30
15.3,13:15,16:15
14.80,16:30,11:00
13.05,19:00,10:15
8.84,16:45,23:00
10.20,19:30,10:00
6.29,11:45,18:30
9.52,13:30,17:45
12.24,15:15,08:45
12.41,19:15,23:00
15.3,18:15,06:45
13.6,12:45,17:00
11.22,11:30,15:15
11.9,17:30,06:30
12.12,11:00,19:30
13.6,12:45,19:45
7.65,09:00,14:00
8.5,13:30,16:15
9.52,12:15,15:15
7.48,18:45,23:00
13.26,14:45,23:00
6.12,18:15,08:15
8.5,17:30,06:30
10.91,18:45,07:45
9.09,20:00,10:15
