Date,Time,P[kW]
01.01.2014, 00:00:00,0.000
01.01.2014, 00:15:00,0.000
01.01.2014, 00:30:00,0.000
01.01.2014, 00:45:00,0.000
01.01.2014, 01:00:00,0.000
01.01.2014, 01:15:00,0.000
01.01.2014, 01:30:00,0.000
01.01.2014, 01:45:00,0.000
01.01.2014, 02:00:00,0.000
01.01.2014, 02:15:00,0.000
01.01.2014, 02:30:00,0.000
01.01.2014, 02:45:00,0.000
01.01.2014, 03:00:00,0.000
01.01.2014, 03:15:00,0.000
01.01.2014, 03:30:00,0.000
01.01.2014, 03:45:00,0.000
01.01.2014, 04:00:00,0.018
01.01.2014, 04:15:00,0.177
01.01.2014, 04:30:00,0.376
01.01.2014, 04:45:00,0.596
01.01.2014, 05:00:00,0.825
01.01.2014, 05:15:00,1.058
01.01.2014, 05:30:00,1.289
01.01.2014, 05:45:00,1.517
01.01.2014, 06:00:00,1.738
01.01.2014, 06:15:00,1.950
01.01.2014, 06:30:00,2.151
01.01.2014, 06:45:00,2.341
01.01.2014, 07:00:00,2.518
01.01.2014, 07:15:00,2.682
01.01.2014, 07:30:00,2.832
01.01.2014, 07:45:00,2.967
01.01.2014, 08:00:00,3.088
01.01.2014, 08:15:00,3.195
01.01.2014, 08:30:00,3.286
01.01.2014, 08:45:00,3.363
01.01.2014, 09:00:00,3.425
01.01.2014, 09:15:00,3.472
01.01.2014, 09:30:00,3.504
01.01.2014, 09:45:00,3.521
01.01.2014, 10:00:00,3.524
01.01.2014, 10:15:00,3.512
01.01.2014, 10:30:00,3.485
01.01.2014, 10:45:00,3.443
01.01.2014, 11:00:00,3.387
01.01.2014, 11:15:00,3.315
01.01.2014, 11:30:00,3.229
01.01.2014, 11:45:00,3.128
01.01.2014, 12:00:00,3.012
01.01.2014, 12:15:00,2.882
01.01.2014, 12:30:00,2.737
01.01.2014, 12:45:00,2.578
01.01.2014, 13:00:00,2.406
01.01.2014, 13:15:00,2.220
01.01.2014, 13:30:00,2.023
01.01.2014, 13:45:00,1.814
01.01.2014, 14:00:00,1.597
01.01.2014, 14:15:00,1.371
01.01.2014, 14:30:00,1.140
01.01.2014, 14:45:00,0.907
01.01.2014, 15:00:00,0.676
01.01.2014, 15:15:00,0.453
01.01.2014, 15:30:00,0.245
01.01.2014, 15:45:00,0.067
01.01.2014, 16:00:00,0.000
01.01.2014, 16:15:00,0.000
01.01.2014, 16:30:00,0.000
01.01.2014, 16:45:00,0.000
01.01.2014, 17:00:00,0.000
01.01.2014, 17:15:00,0.000
01.01.2014, 17:30:00,0.000
01.01.2014, 17:45:00,0.000
01.01.2014, 18:00:00,0.000
01.01.2014, 18:15:00,0.000
01.01.2014, 18:30:00,0.000
01.01.2014, 18:45:00,0.000
01.01.2014, 19:00:00,0.000
01.01.2014, 19:15:00,0.000
01.01.2014, 19:30:00,0.000
01.01.2014, 19:45:00,0.000
01.01.2014, 20:00:00,0.000
01.01.2014, 20:15:00,0.000
01.01.2014, 20:30:00,0.000
01.01.2014, 20:45:00,0.000
01.01.2014, 21:00:00,0.000
01.01.2014, 21:15:00,0.000
01.01.2014, 21:30:00,0.000
01.01.2014, 21:45:00,0.000
01.01.2014, 22:00:00,0.000
01.01.2014, 22:15:00,0.000
01.01.2014, 22:30:00,0.000
01.01.2014, 22:45:00,0.000
01.01.2014, 23:00:00,0.000
01.01.2014, 23:15:00,0.000
01.01.2014, 23:30:00,0.000
01.01.2014, 23:45:00,0.000
