"Person_ID","Dist_since_last_Home","Time_of_Arrival_Home","Time_of_Departure_Home"
"41010001191",48.7,"12.11.2016 13:35","12.11.2016 16:00"
"41010001191",46,"12.11.2016 17:05","15.11.2016 12:15"
"41010001191",10,"15.11.2016 13:55","16.11.2016 13:00"
"41010001191",55,"16.11.2016 14:05","16.11.2016 15:45"
"41010001191",55,"16.11.2016 17:10","16.11.2016 23:59"
"41010007731",6,"13.09.2016 13:20","13.09.2016 15:30"
"41010007731",6,"13.09.2016 15:40","14.09.2016 11:00"
"41010007731",108,"14.09.2016 20:00","15.09.2016 12:45"
"41010007731",10,"15.09.2016 13:35","16.09.2016 11:20"
"41010007731",17,"16.09.2016 13:45","17.09.2016 14:30"
"41010007731",12,"17.09.2016 15:35","19.09.2016 16:50"
"41010007731",10,"19.09.2016 19:05","19.09.2016 23:59"
"41010009171",8,"01.10.2016 10:40","04.10.2016 03:00"
"41010009171",8,"04.10.2016 10:40","05.10.2016 03:00"
"41010009171",8,"05.10.2016 10:40","06.10.2016 03:00"
"41010009171",8,"06.10.2016 10:40","07.10.2016 03:00"
"41010009171",8,"07.10.2016 10:40","07.10.2016 23:59"
"41010009172",15.4,"08.11.2016 17:20","09.11.2016 07:00"
"41010009172",28,"09.11.2016 17:20","10.11.2016 07:00"
"41010009172",34.4,"10.11.2016 17:10","11.11.2016 07:00"
"41010009172",40,"11.11.2016 16:15","14.11.2016 07:00"
"41010009172",28,"14.11.2016 15:20","14.11.2016 23:59"
"41010009173",8.4,"08.11.2016 16:40","08.11.2016 17:00"
"41010009173",6,"08.11.2016 18:00","09.11.2016 06:30"
"41010009173",84,"09.11.2016 16:00","10.11.2016 07:15"
"41010009173",8.4,"10.11.2016 16:40","10.11.2016 17:30"
"41010009173",14,"10.11.2016 18:00","10.11.2016 21:00"
"41010009173",14,"10.11.2016 21:30","11.11.2016 06:30"
"41010009173",84,"11.11.2016 14:15","14.11.2016 07:15"
"41010009173",8.4,"14.11.2016 16:40","14.11.2016 23:59"
"41010009271",4.6,"17.09.2016 09:42","17.09.2016 10:32"
"41010009271",1,"17.09.2016 12:41","17.09.2016 14:40"
"41010009271",11.1,"17.09.2016 15:50","19.09.2016 05:05"
"41010009271",29,"19.09.2016 15:20","20.09.2016 05:05"
"41010009271",29,"20.09.2016 14:55","21.09.2016 05:00"
"41010009271",29,"21.09.2016 14:55","22.09.2016 05:20"
"41010009271",29,"22.09.2016 14:55","23.09.2016 05:00"
"41010009271",29,"23.09.2016 14:15","23.09.2016 23:59"
"41010009272",49.1,"19.09.2016 18:53","20.09.2016 07:14"
"41010009272",43.2,"20.09.2016 13:53","21.09.2016 07:16"
"41010009272",39.2,"21.09.2016 13:56","22.09.2016 06:47"
"41010009272",38.8,"22.09.2016 13:58","23.09.2016 06:45"
"41010009272",38.8,"23.09.2016 13:52","23.09.2016 23:59"
"41010009671",3.6,"16.09.2016 08:14","17.09.2016 07:50"
"41010009671",3.2,"17.09.2016 08:20","17.09.2016 10:00"
"41010009671",62,"17.09.2016 13:40","19.09.2016 07:30"
"41010009671",28,"19.09.2016 15:25","20.09.2016 11:40"
"41010009671",3.6,"20.09.2016 12:25","22.09.2016 07:30"
"41010009671",14,"22.09.2016 08:16","22.09.2016 15:00"
"41010009671",30,"22.09.2016 17:43","22.09.2016 23:59"
"41010009672",11,"16.09.2016 08:25","16.09.2016 09:45"
"41010009672",11,"16.09.2016 09:57","16.09.2016 23:59"
"41010009741",24,"19.09.2016 10:05","19.09.2016 11:30"
"41010009741",24,"19.09.2016 13:10","20.09.2016 04:10"
"41010009741",20,"20.09.2016 07:00","20.09.2016 10:30"
"41010009741",24,"20.09.2016 11:00","20.09.2016 12:30"
"41010009741",10,"20.09.2016 13:15","21.09.2016 04:10"
"41010009741",20,"21.09.2016 07:00","22.09.2016 04:10"
"41010009741",20,"22.09.2016 07:00","22.09.2016 08:05"
"41010009741",6,"22.09.2016 10:15","23.09.2016 07:15"
"41010009741",12,"23.09.2016 08:40","23.09.2016 09:00"
"41010009741",6,"23.09.2016 11:05","24.09.2016 14:30"
"41010009741",10,"24.09.2016 15:05","24.09.2016 23:59"
"41010009821",5,"16.09.2016 15:45","17.09.2016 09:27"
"41010009821",11.1,"17.09.2016 10:58","19.09.2016 18:10"
"41010009821",10,"19.09.2016 18:45","19.09.2016 19:40"
"41010009821",3,"19.09.2016 19:50","20.09.2016 10:05"
"41010009821",6,"20.09.2016 10:35","20.09.2016 14:15"
"41010009821",30,"20.09.2016 14:45","20.09.2016 15:50"
"41010009821",30,"20.09.2016 16:20","21.09.2016 18:50"
"41010009821",33,"21.09.2016 19:20","21.09.2016 21:45"
"41010009821",33,"21.09.2016 22:15","22.09.2016 19:00"
"41010009821",9,"22.09.2016 19:20","22.09.2016 21:10"
"41010009821",9,"22.09.2016 21:30","22.09.2016 23:59"
"41010009822",84,"16.09.2016 10:35","21.09.2016 13:24"
"41010009822",70,"21.09.2016 15:35","22.09.2016 10:45"
"41010009822",70,"22.09.2016 13:20","22.09.2016 14:50"
"41010009822",10.2,"22.09.2016 15:45","22.09.2016 23:59"
"41010010181",9.8,"10.10.2016 18:35","10.10.2016 19:10"
"41010010181",8.2,"10.10.2016 20:35","11.10.2016 07:40"
"41010010181",11.7,"11.10.2016 17:35","12.10.2016 07:50"
"41010010181",9.6,"12.10.2016 17:42","13.10.2016 16:40"
"41010010181",6.5,"13.10.2016 19:05","14.10.2016 08:05"
"41010010181",9.6,"14.10.2016 14:45","14.10.2016 23:59"
"41010010182",4.5,"12.10.2016 18:25","13.10.2016 18:55"
"41010010182",3,"13.10.2016 19:05","14.10.2016 10:47"
"41010010182",1,"14.10.2016 11:28","14.10.2016 23:59"
"41010010691",25,"16.09.2016 19:30","16.09.2016 21:25"
"41010010691",25,"16.09.2016 21:50","17.09.2016 11:00"
"41010010691",25,"17.09.2016 13:00","19.09.2016 09:15"
"41010010691",17.5,"19.09.2016 12:25","19.09.2016 23:59"
"41010010692",4.5,"16.09.2016 11:45","17.09.2016 08:30"
"41010010692",5,"17.09.2016 08:50","17.09.2016 12:00"
"41010010692",18,"17.09.2016 13:10","17.09.2016 18:45"
"41010010692",12,"17.09.2016 19:00","18.09.2016 01:15"
"41010010692",12,"18.09.2016 01:30","18.09.2016 15:45"
"41010010692",20,"18.09.2016 16:05","18.09.2016 18:10"
"41010010692",20,"18.09.2016 18:30","19.09.2016 09:00"
"41010010692",10,"19.09.2016 12:25","19.09.2016 14:50"
"41010010692",2.5,"19.09.2016 15:00","19.09.2016 16:30"
"41010010692",2,"19.09.2016 16:45","19.09.2016 17:25"
"41010010692",1.5,"19.09.2016 17:30","20.09.2016 14:20"
"41010010692",13,"20.09.2016 17:10","21.09.2016 09:45"
"41010010692",11.5,"21.09.2016 22:10","21.09.2016 09:55"
"41010010692",30,"21.09.2016 13:25","21.09.2016 17:30"
"41010010692",10,"21.09.2016 17:45","22.09.2016 13:50"
"41010010692",4,"22.09.2016 14:00","22.09.2016 16:00"
"41010010692",4,"22.09.2016 16:10","22.09.2016 23:59"
"41010010731",30,"19.09.2016 12:50","19.09.2016 14:00"
"41010010731",10,"19.09.2016 14:55","19.09.2016 17:15"
"41010010731",10,"19.09.2016 18:10","20.09.2016 05:10"
"41010010731",30,"20.09.2016 15:45","21.09.2016 05:10"
"41010010731",34.8,"21.09.2016 15:40","22.09.2016 05:10"
"41010010731",30,"22.09.2016 15:15","23.09.2016 05:10"
"41010010731",30,"23.09.2016 15:00","23.09.2016 23:59"
"41010010732",8.9,"17.09.2016 10:00","17.09.2016 15:53"
"41010010732",7.6,"17.09.2016 16:10","19.09.2016 07:08"
"41010010732",61.2,"19.09.2016 14:02","20.09.2016 07:10"
"41010010732",61.2,"20.09.2016 14:10","20.09.2016 16:50"
"41010010732",4.5,"20.09.2016 16:57","20.09.2016 18:27"
"41010010732",4.5,"20.09.2016 18:35","21.09.2016 07:09"
"41010010732",57.1,"21.09.2016 17:08","22.09.2016 07:10"
"41010010732",10.1,"22.09.2016 19:45","22.09.2016 07:14"
"41010010732",60.1,"22.09.2016 14:05","22.09.2016 17:45"
"41010010732",10,"22.09.2016 18:55","23.09.2016 07:09"
"41010010732",28.1,"23.09.2016 18:40","23.09.2016 18:45"
"41010010732",8,"23.09.2016 18:57","23.09.2016 07:13"
"41010010732",1.1,"23.09.2016 07:16","23.09.2016 12:15"
"41010010732",2.2,"23.09.2016 12:30","23.09.2016 13:10"
"41010010732",2.2,"23.09.2016 13:20","23.09.2016 16:05"
"41010010732",27,"23.09.2016 16:35","23.09.2016 23:59"
"41010010841",1.6,"17.09.2016 09:10","17.09.2016 15:50"
"41010010841",18,"17.09.2016 16:45","17.09.2016 17:15"
"41010010841",25,"17.09.2016 17:45","17.09.2016 19:15"
"41010010841",25,"17.09.2016 19:45","17.09.2016 22:50"
"41010010841",20,"17.09.2016 23:45","18.09.2016 09:15"
"41010010841",4,"18.09.2016 11:27","18.09.2016 15:05"
"41010010841",40,"18.09.2016 18:20","19.09.2016 10:12"
"41010010841",5,"19.09.2016 11:25","19.09.2016 13:15"
"41010010841",4,"19.09.2016 13:35","19.09.2016 17:00"
"41010010841",3,"19.09.2016 17:25","20.09.2016 19:45"
"41010010841",2,"20.09.2016 19:55","20.09.2016 21:50"
"41010010841",2,"20.09.2016 21:55","21.09.2016 11:10"
"41010010841",7,"21.09.2016 13:15","21.09.2016 19:15"
"41010010841",4,"21.09.2016 21:30","23.09.2016 11:45"
"41010010841",27,"23.09.2016 14:50","23.09.2016 23:59"
"41010012141",7,"17.09.2016 17:10","17.09.2016 17:17"
"41010012141",7,"17.09.2016 17:28","20.09.2016 07:30"
"41010012141",20,"20.09.2016 09:38","20.09.2016 23:59"
"41010012142",20,"16.09.2016 12:38","17.09.2016 14:35"
"41010012142",28,"17.09.2016 15:00","17.09.2016 16:10"
"41010012142",28,"17.09.2016 16:35","19.09.2016 07:50"
"41010012142",3,"19.09.2016 08:39","20.09.2016 09:31"
"41010012142",5,"20.09.2016 09:43","20.09.2016 12:10"
"41010012142",5,"20.09.2016 12:24","21.09.2016 08:47"
"41010012142",20,"21.09.2016 12:10","22.09.2016 08:50"
"41010012142",13.8,"22.09.2016 19:17","22.09.2016 22:46"
"41010012142",10,"22.09.2016 23:02","22.09.2016 09:16"
"41010012142",6.7,"22.09.2016 10:21","22.09.2016 12:08"
"41010012142",60,"22.09.2016 15:46","22.09.2016 23:59"
"41010012801",245,"15.09.2016 14:50","16.09.2016 08:10"
"41010012801",44,"16.09.2016 17:20","17.09.2016 10:30"
"41010012801",8,"17.09.2016 11:40","17.09.2016 13:30"
"41010012801",30,"17.09.2016 15:30","19.09.2016 08:10"
